name,merchant_id,avg_processed,GMV_all,avg_active_days,total_lost_n_damaged,avg_returned,avg_24,avg_24_48,avg_48,max_processed_date,order_post_30,is_churn,total_complain,max_created_at,solved_at,delta
ArtTour,48325,3,425,3,0,1,2,1,1,2022-04-27,2,0,0,2022-04-01,2022-04-01,0
Buterfly Click,49201,18,12561,6,0,0,13,1,0,2022-04-18,1,0,1,2022-04-01,2022-04-01,0
Addaian collection,25814,23,17838,7,0,0,13,2,0,2022-04-29,40,0,1,2022-04-30,2022-05-08,8
Mahmud's Fragrance,37203,13,11380,6,0,0,7,1,0,2022-04-28,5,0,1,2022-04-08,2022-04-08,0
Global Homeopathy Clinic,58631,14,3905,9,0,0,2,0,0,2022-04-27,5,0,1,2022-03-30,2022-04-01,2
Kids Paradise,13523,15,1428,10,0,0,10,0,0,2022-04-28,2,0,1,2022-03-26,2022-04-01,6
Glassy & Classy Purchase UK,37949,7,11940,5,0,0,5,1,0,2022-04-28,2,0,1,2022-04-17,2022-04-19,2
TD online shop plus,59104,3,5650,3,0,0,0,1,0,2022-04-08,0,1,1,2022-05-21,2022-05-25,4
Jannat Shop,60539,43,61970,17,0,4,13,2,1,2022-04-19,5,0,2,2022-04-16,2022-04-19,3
Freshai,36728,96,30138,15,0,4,69,8,5,2022-04-29,24,0,1,2022-05-21,2022-05-28,7
Girl's Alley,34983,8,4374,3,0,0,4,2,0,2022-04-30,1,0,1,2022-04-08,2022-04-08,0
Shamogree,32148,182,165767,28,0,8,45,2,1,2022-04-28,153,0,2,2022-04-18,2022-04-19,1
annisa gallery,14751,289,580612,24,0,4,167,17,2,2022-04-29,109,0,8,2022-05-21,2022-05-29,8
Swapno Jatra,34683,151,315217,23,0,3,97,10,2,2022-04-28,46,0,4,2022-05-16,2022-05-26,10
Innate,13599,117,50188,25,0,5,23,2,0,2022-04-30,56,0,3,2022-04-18,2022-04-19,1
Islamik Shop,26824,5,3747,5,0,0,3,0,0,2022-04-28,10,0,5,2022-05-21,2022-05-26,5
My Wardrobe BD,8277,16,14352,9,0,0,14,1,0,2022-04-29,7,0,0,2022-04-01,2022-04-01,0
RR online shop,20443,9,8710,7,0,0,1,0,0,2022-04-28,8,0,7,2022-04-27,2022-05-13,16
Dreamy Dress,46413,18,21777,10,0,0,1,2,0,2022-04-29,38,0,20,2022-04-30,2022-05-04,4
OrderAny Global Trade,51069,8,3410,6,0,1,6,0,1,2022-04-30,12,0,3,2022-05-21,2022-05-24,3
Black beauty corner.,10575,13,11353,6,0,1,8,1,0,2022-04-06,0,1,1,2022-03-31,2022-04-01,1
Iconica,9229,276,571517,24,0,15,149,20,13,2022-04-30,192,0,6,2022-04-29,2022-05-09,10
facebook marketiing,37207,139,138553,25,0,26,15,6,4,2022-04-27,113,0,25,2022-05-19,2022-05-27,8
Bhuiyan Enterprise,41962,56,70395,20,0,3,14,5,1,2022-04-28,37,0,2,2022-04-30,2022-05-08,8
XiuLin BD,34612,47,34247,16,0,11,23,2,3,2022-04-24,0,1,1,2022-04-17,2022-04-19,2
USBD Makeup Cafe,22045,52,152768,17,0,0,36,3,0,2022-04-26,21,0,0,2022-04-01,2022-04-01,0
Eye Candy,37759,17,5776,11,0,0,4,0,0,2022-04-27,1,0,1,2022-04-18,2022-04-19,1
ELA ALI,41866,3,7780,2,0,0,1,0,0,2022-04-30,2,0,1,2022-04-17,2022-04-19,2
Jersey Geeks,42961,6,4453,4,0,0,4,0,0,2022-04-30,80,0,20,2022-05-21,2022-05-26,5
Choron jugol,19464,16,21607,11,0,0,0,0,0,2022-04-27,0,1,1,2022-04-07,2022-04-08,1
The Gorgeous,29521,209,408933,21,0,10,4,55,95,2022-04-29,151,0,4,2022-04-09,2022-04-20,11
Lavender Bloom,35345,56,48266,12,0,1,29,13,3,2022-04-26,8,0,1,2022-03-31,2022-04-01,1
BD Culture & Books,5155,20,32638,14,0,0,14,1,0,2022-04-27,5,0,1,2022-04-30,2022-05-12,12
Meghmala Fashion and Craft,12888,12,22067,7,0,0,5,1,0,2022-04-29,0,1,6,2022-04-30,2022-05-08,8
Wish of Women-WOW,9013,69,223737,19,0,1,42,3,1,2022-04-30,10,0,3,2022-04-29,2022-05-08,9
Athimoy Enterprise Limited,36376,32,2978,9,0,0,0,0,13,2022-04-25,6,0,1,2022-04-27,2022-05-16,19
QuickBuy,27109,51,48397,18,0,5,10,0,1,2022-04-28,7,0,0,2022-04-08,2022-04-08,0
Textown,9586,2,1675,2,0,1,0,1,0,2022-04-28,7,0,2,2022-04-01,2022-04-01,0
Story teller world,22599,296,183151,28,0,7,169,18,4,2022-04-30,337,0,2,2022-04-30,2022-05-08,8
Yes Care,6805,8,11693,3,0,1,5,0,0,2022-04-26,25,0,1,2022-05-17,2022-05-24,7
Jnj Fashion,6101,16,10471,7,0,0,12,1,0,2022-04-25,5,0,1,2022-04-02,2022-04-02,0
Care Me Global,28452,1349,2093504,21,0,220,390,77,64,2022-04-29,1532,0,16,2022-05-18,2022-05-29,11
Creatice Fashion Gallery,8556,145,166663,25,0,15,34,5,3,2022-04-30,162,0,11,2022-05-21,2022-05-25,4
Dewdrop's bd,40898,1,60,1,0,0,1,0,0,2022-04-01,0,1,1,2022-04-01,2022-04-01,0
E-trust BD.Com,57026,33,54940,15,0,3,2,0,0,2022-04-26,71,0,40,2022-05-21,2022-05-28,7
Zihan Bd,45304,23,16207,12,0,4,1,1,0,2022-04-22,0,1,1,2022-04-01,2022-04-01,0
M/S Joynob Enterprise,5900,416,295003,29,0,29,2,0,1,2022-04-27,968,0,5,2022-04-18,2022-04-20,2
Jamil's Comics & Collectables,18274,7,8740,5,0,0,5,0,0,2022-04-23,2,0,1,2022-04-18,2022-04-19,1
CHHONDA'S MODE,5933,143,321807,29,0,3,0,0,0,2022-04-30,126,0,3,2022-05-16,2022-05-31,15
Vablesh,23693,59,34850,13,0,7,35,6,2,2022-04-29,8,0,7,2022-05-17,2022-05-24,7
classy looks Bd,6199,62,100247,17,0,1,1,0,0,2022-04-26,32,0,2,2022-04-18,2022-04-19,1
Saloria,37788,111,89607,14,0,7,53,9,3,2022-04-30,100,0,1,2022-05-21,2022-05-28,7
THE BEAUTY BEAST,41711,188,132892,24,0,9,115,14,5,2022-04-29,138,0,25,2022-05-21,2022-05-25,4
See Ever,42399,88,66323,16,0,7,22,3,2,2022-04-30,110,0,39,2022-05-21,2022-05-24,3
MoslaTaste,21630,43,28787,16,0,0,5,2,0,2022-04-26,56,0,3,2022-04-15,2022-04-20,5
Unique life style,43517,34,50236,14,0,1,14,0,1,2022-04-28,56,0,3,2022-05-21,2022-05-24,3
KAYARA,29464,69,122158,15,0,3,39,8,2,2022-04-06,0,1,1,2022-04-12,2022-04-20,8
RM Fasion,52660,215,160285,22,0,13,69,6,3,2022-04-26,119,0,10,2022-05-21,2022-05-27,6
Ever Kraze,9056,119,384350,25,0,5,1,0,0,2022-04-29,54,0,1,2022-04-30,2022-05-08,8
times manifest,13041,58,135498,20,1,4,28,3,2,2022-04-26,1,0,1,2022-04-02,2022-04-02,0
GM Elite Corporation,8981,137,177353,20,0,7,42,14,3,2022-04-24,10,0,0,2022-04-08,2022-04-08,0
MD Collection,11122,11,22153,9,0,0,6,1,0,2022-04-25,9,0,1,2022-04-18,2022-04-19,1
Bongo Lolona,27794,4,2208,3,0,0,0,1,2,2022-04-14,0,1,1,2022-04-18,2022-04-21,3
Vape Company,10507,25,48232,14,0,0,21,2,0,2022-04-30,46,0,2,2022-04-28,2022-05-04,6
Magic Crafts,8028,2,203,2,0,0,1,0,0,2022-04-24,3,0,2,2022-04-24,2022-05-08,14
Hadiya Brand BD,57687,8,1550,4,0,0,0,1,1,2022-04-06,0,1,2,2022-04-08,2022-04-08,0
Tbesto,45437,8,2074,7,0,0,7,1,0,2022-04-28,10,0,1,2022-05-13,2022-05-25,12
Uzmah,23586,132,544232,22,0,1,91,6,1,2022-04-30,131,0,9,2022-05-20,2022-05-27,7
Reseller BD Club,60411,49,38205,13,0,3,21,3,1,2022-04-30,142,0,4,2022-04-30,2022-05-08,8
BONANZA's,1040,68,331882,25,0,0,2,0,0,2022-04-30,56,0,2,2022-04-18,2022-04-19,1
Giftitems.com.bd,12965,8,8189,5,0,1,3,0,0,2022-04-25,9,0,2,2022-05-16,2022-05-25,9
Eclectic Beauty Arena,35632,10,15776,5,0,0,1,0,0,2022-04-29,4,0,1,2022-04-08,2022-04-08,0
The velvet Fly,34201,70,42415,10,0,1,32,3,1,2022-04-28,40,0,6,2022-04-30,2022-05-04,4
Family shop bd,10474,15,20188,7,0,0,0,2,8,2022-04-29,13,0,1,2022-04-17,2022-04-19,2
Healthy Eats,37932,13,15488,10,0,0,11,1,0,2022-04-28,21,0,2,2022-04-30,2022-05-10,10
The Frame House,30925,40,18632,5,0,0,29,3,1,2022-04-25,17,0,2,2022-04-01,2022-04-01,0
Defend Consortium,17242,1,4100,1,0,0,1,0,0,2022-04-02,0,1,0,2022-04-02,2022-04-02,0
Khubsurat style,48621,3,10343,3,0,0,2,0,0,2022-04-26,4,0,0,2022-04-08,2022-04-08,0
K-Stuffs,12291,33,21302,9,0,0,14,4,0,2022-04-28,19,0,2,2022-04-18,2022-04-20,2
Soha trade international,33145,6,7391,5,0,0,1,0,0,2022-04-25,8,0,0,2022-04-02,2022-04-02,0
Trendy Push,62129,6,20280,4,0,0,0,0,0,2022-04-24,0,1,1,2022-04-18,2022-04-19,1
Zukti by Rose,35601,89,81433,21,0,4,32,4,1,2022-04-30,37,0,1,2022-04-17,2022-04-20,3
Valocai.com,41090,24,23020,12,0,1,8,0,0,2022-04-29,37,0,7,2022-05-20,2022-05-24,4
MANISHI COLLECTION,5452,50,25490,12,0,4,39,6,4,2022-04-29,42,0,2,2022-04-18,2022-04-20,2
AQUA SHOP BD,7149,43,66550,9,0,2,7,1,1,2022-04-29,42,0,2,2022-05-12,2022-05-24,12
Style With Me,47006,3,4547,2,0,1,1,0,0,2022-04-25,1,0,1,2022-04-18,2022-04-19,1
Digital Electronics Products,9761,7,13970,7,0,0,1,0,0,2022-04-27,10,0,1,2022-04-08,2022-04-08,0
The Eillivia West,16789,7,3766,3,0,0,5,1,0,2022-04-15,2,0,0,2022-04-01,2022-04-01,0
Creative Hawker,39029,3,1520,3,0,0,0,0,0,2022-04-30,1,0,5,2022-04-30,2022-05-05,5
DreamZone bd,44209,8,12697,6,0,0,3,0,0,2022-04-28,68,0,1,2022-04-26,2022-05-15,19
Relax Lifestyle,63360,47,32680,9,0,10,9,4,1,2022-04-29,79,0,19,2022-05-21,2022-05-26,5
Mini Haul,6931,31,41743,5,0,0,11,4,11,2022-04-30,76,0,1,2022-04-25,2022-05-17,22
Original Book BD,25681,33,47035,20,0,0,24,1,1,2022-04-29,50,0,1,2022-03-31,2022-04-02,2
The Shoe Box,52896,10,25873,5,0,1,3,0,0,2022-04-02,0,1,0,2022-04-02,2022-04-02,0
CRAFT and MART,49389,118,44335,17,0,3,47,6,1,2022-04-27,53,0,3,2022-04-30,2022-05-08,8
Little Trendstar,919,352,472757,28,0,7,244,18,3,2022-04-30,371,0,1,2022-04-07,2022-04-08,1
Ease of shopping(991),44030,40,26250,14,0,6,6,2,0,2022-04-28,5,0,7,2022-04-29,2022-05-18,19
WALL TOUCH,4252,3,1530,2,0,1,1,0,0,2022-04-27,3,0,1,2022-04-12,2022-04-19,7
Brand Point,56748,15,58572,9,0,0,9,1,0,2022-04-24,6,0,2,2022-04-17,2022-04-20,3
Porkola,33795,2,735,2,0,0,0,0,0,2022-04-30,0,1,0,2022-04-08,2022-04-08,0
Rong kuthir 2,54034,40,45110,11,0,2,13,1,1,2022-04-29,91,0,5,2022-05-21,2022-05-24,3
Long life elite Corporation,9043,389,572741,22,0,61,79,31,13,2022-04-30,40,0,6,2022-04-30,2022-05-13,13
Orchid-The Taste Of Luxury,27473,2,2613,2,0,0,1,0,0,2022-04-26,0,1,1,2022-04-01,2022-04-01,0
Cutiepie,24107,10,14104,6,0,0,6,0,0,2022-04-30,6,0,3,2022-04-30,2022-05-11,11
Dooms,31977,71,46713,9,0,2,33,3,2,2022-04-28,13,0,4,2022-04-28,2022-05-12,14
Tribindu,37783,6,1637,3,0,1,3,1,1,2022-04-28,0,1,0,2022-04-12,2022-04-19,7
Go Online Shopping Mart,59365,1,670,1,0,0,0,0,0,2022-04-01,0,1,1,2022-03-31,2022-04-02,2
Adiyat Fashion.,7582,11,27663,7,0,1,5,0,1,2022-04-25,0,1,1,2022-04-07,2022-04-08,1
Tote BD,8702,24,19323,11,0,0,7,1,0,2022-04-29,33,0,2,2022-04-07,2022-04-08,1
Sunlight 1,8581,2,900,2,0,1,0,0,0,2022-04-09,0,1,2,2022-04-08,2022-04-08,0
Sage Collection,33988,52,66773,18,0,4,15,2,3,2022-04-30,12,0,6,2022-04-28,2022-05-04,6
Nawal,24767,5,14722,3,0,0,3,0,0,2022-04-26,3,0,1,2022-04-28,2022-05-08,10
Rufaida Closet,32636,15,19738,10,0,0,1,0,0,2022-04-28,45,0,1,2022-05-14,2022-05-31,17
Pindhan Amar Desher Sporsho,11165,3,392,3,0,0,1,0,0,2022-04-29,2,0,1,2022-04-29,2022-05-04,5
SkyMiss,31410,5,2314,2,0,0,3,0,0,2022-04-06,0,1,1,2022-04-02,2022-04-08,6
Sayran's Collection,6061,328,353821,23,0,14,149,19,8,2022-04-30,97,0,2,2022-05-21,2022-05-26,5
Sonali vubon,24083,54,41293,19,1,5,11,1,2,2022-04-23,1,0,4,2022-05-18,2022-05-26,8
Average Khan Fashion Cornar,36936,18,17470,11,0,2,0,0,0,2022-04-30,6,0,1,2022-04-18,2022-04-19,1
Fashion Palace Exclusive-Sharmin,20373,37,21162,17,0,1,0,0,0,2022-04-27,14,0,0,2022-04-08,2022-04-08,0
Bihul,33161,2,1217,2,0,0,0,0,0,2022-04-29,1,0,2,2022-04-30,2022-05-05,5
Depika collection,40536,19,29677,13,0,0,2,1,1,2022-04-28,31,0,4,2022-04-17,2022-04-20,3
Sofacoverbd.com,20227,10,20507,7,0,0,1,0,0,2022-04-28,0,1,1,2022-04-18,2022-04-21,3
Shela's Mart UK,37466,20,38051,9,0,0,8,0,0,2022-04-26,19,0,1,2022-04-11,2022-04-19,8
Shova Prokash,21138,2,1158,2,0,0,1,0,1,2022-04-06,0,1,1,2022-04-02,2022-04-02,0
NHO Foods,49042,320,430335,19,0,29,56,11,3,2022-04-29,337,0,1,2022-04-01,2022-04-01,0
JWAF CLOTHING,9201,92,137004,21,0,0,67,5,2,2022-04-30,60,0,2,2022-04-28,2022-05-04,6
Littleverse,36222,51,44873,14,0,0,4,1,0,2022-04-28,74,0,2,2022-04-16,2022-04-20,4
Craftroots,5990,1,7307,1,0,0,0,0,0,2022-04-24,3,0,1,2022-04-07,2022-04-08,1
MH COLLECTION,38736,3,2370,2,0,0,3,0,0,2022-04-08,0,1,1,2022-04-08,2022-04-08,0
Suprova,46282,1,210,1,0,0,0,0,0,2022-04-25,0,1,1,2022-04-30,2022-05-12,12
Capistic,62053,227,102439,16,0,6,170,15,8,2022-04-30,0,1,3,2022-04-30,2022-05-12,12
Ladily,6557,12,8875,4,0,0,9,0,0,2022-04-30,19,0,3,2022-04-30,2022-05-09,9
Taha Shop,56694,3,1860,3,0,0,0,0,0,2022-04-28,2,0,1,2022-04-17,2022-04-20,3
Elegant Stitch,29457,73,128155,20,0,4,14,2,0,2022-04-29,72,0,1,2022-04-30,2022-05-05,5
www.aurpabd.com,36341,4,9450,4,0,0,0,0,1,2022-04-28,11,0,1,2022-04-06,2022-04-08,2
Sky Shop bd,59869,11,16850,2,0,2,0,1,0,2022-04-29,130,0,13,2022-05-20,2022-05-24,4
Noboshaj Fashion,29480,31,45513,12,0,3,2,0,0,2022-04-26,2,0,4,2022-04-30,2022-05-04,4
Keya's World,55376,3,1790,3,0,1,1,1,0,2022-04-18,4,0,0,2022-04-08,2022-04-08,0
Zoomlex fashion,35808,47,35160,17,0,5,10,1,2,2022-04-28,98,0,18,2022-04-30,2022-05-04,4
Shadin Shop,61457,13,9361,9,0,0,0,0,0,2022-04-27,6,0,2,2022-04-28,2022-05-16,18
Kuri,13090,10,7367,7,0,0,6,0,0,2022-04-23,4,0,1,2022-04-07,2022-04-08,1
Karunno,48484,1,330,1,0,0,1,0,0,2022-04-20,0,1,1,2022-04-01,2022-04-01,0
Sarangi,38374,1,66,1,0,0,1,0,0,2022-04-16,0,1,1,2022-04-18,2022-04-19,1
Mystic Store,57603,51,31004,6,0,1,31,4,1,2022-04-29,43,0,1,2022-04-30,2022-05-12,12
COSECHA,58655,5,2737,3,0,0,1,0,0,2022-04-28,1,0,2,2022-04-27,2022-05-11,14
SF Corporation,56511,232,202580,19,0,30,39,5,6,2022-04-27,258,0,21,2022-05-20,2022-05-25,5
Hijab Divine,51914,4,2365,4,0,0,1,0,0,2022-04-27,3,0,1,2022-03-31,2022-04-01,1
Farjan shop,32368,29,29678,11,0,1,20,1,0,2022-04-30,23,0,2,2022-04-06,2022-04-08,2
Raani,3017,43,57480,17,0,3,18,4,1,2022-04-29,31,0,1,2022-04-18,2022-04-21,3
Dress Degine,60962,2,1200,2,0,0,0,0,0,2022-04-18,0,1,2,2022-04-18,2022-04-19,1
Lavishta,999,1776,4065155,22,0,119,1136,200,89,2022-04-30,0,1,1,2022-04-30,2022-05-10,10
Gadgetophile,60978,46,20535,9,0,1,17,3,0,2022-04-26,93,0,4,2022-05-21,2022-05-25,4
NikotBazar,58460,7,3780,5,0,1,0,0,0,2022-04-27,10,0,1,2022-04-02,2022-04-02,0
KISHANI,44016,6,4050,1,0,0,2,0,0,2022-04-27,118,0,9,2022-05-20,2022-05-25,5
Comilla KIOSK,30978,36,4349,18,0,0,3,13,3,2022-04-29,21,0,1,2022-04-07,2022-04-08,1
Amaris Collection,38625,1,4670,1,0,0,1,0,0,2022-04-17,0,1,2,2022-04-18,2022-04-20,2
Bonafide,60697,9,4393,4,0,0,6,0,0,2022-04-14,0,1,0,2022-04-08,2022-04-08,0
Nilambor,36310,3,2350,3,0,0,2,1,0,2022-04-24,1,0,2,2022-04-25,2022-05-08,13
Alif Fashion House,32812,5,10977,4,0,0,2,1,0,2022-04-28,4,0,17,2022-04-30,2022-05-08,8
Growing Supplier,26284,3,2960,3,0,0,3,0,0,2022-04-26,2,0,3,2022-05-21,2022-05-25,4
Fitfood Wellness Products Ltd.,6360,71,54808,22,0,1,50,12,3,2022-04-30,76,0,1,2022-04-01,2022-04-01,0
Bd Online shop 1,42057,5,5550,4,0,0,0,0,0,2022-04-10,0,1,2,2022-05-18,2022-05-25,7
Dhriti Enterprise,5464,19,38007,12,0,1,15,0,0,2022-04-29,0,1,0,2022-04-29,2022-05-08,9
Mibd,60313,7,1175,2,0,0,6,0,0,2022-04-25,0,1,1,2022-04-18,2022-04-19,1
Mayami,40914,15,10347,6,0,0,9,1,0,2022-04-30,6,0,4,2022-04-30,2022-05-10,10
Exotic Fashion,32566,2,1600,2,0,0,2,0,0,2022-04-16,1,0,1,2022-04-02,2022-04-02,0
Beauties Heaven,28232,100,61103,27,0,3,6,1,0,2022-04-28,90,0,2,2022-04-08,2022-04-08,0
Rafsan Shop,35176,133,146167,23,0,10,25,11,3,2022-04-28,204,0,18,2022-04-30,2022-05-08,8
BLACK & WHITE (B&W),63951,6,8020,1,0,0,1,0,0,2022-04-06,0,1,1,2022-04-07,2022-04-08,1
Shorong,8747,2,170,2,0,0,1,0,0,2022-04-17,0,1,0,2022-04-02,2022-04-02,0
Rongin Suto Fashion House,7549,153,421913,13,0,2,0,9,52,2022-04-25,59,0,1,2022-04-02,2022-04-02,0
FLAMBOYANT DESIGN,4274,16,45022,12,0,0,14,1,1,2022-04-29,9,0,1,2022-04-18,2022-04-19,1
Srote,4192,37,41899,17,0,0,24,2,0,2022-04-29,16,0,14,2022-04-30,2022-05-16,16
PUNOK,47098,19,25558,9,0,1,0,0,0,2022-04-29,1,0,1,2022-04-18,2022-04-19,1
UKcosmeticz.BD,3334,89,224512,26,0,2,64,5,2,2022-04-28,71,0,0,2022-04-18,2022-04-19,1
Zahwahs Exclusive Collection,5905,194,765310,22,0,3,57,51,16,2022-04-29,112,0,3,2022-04-29,2022-05-13,14
Boho Bangla,61537,26,34100,17,0,0,15,0,0,2022-04-01,0,1,0,2022-04-01,2022-04-01,0
Poster Lab,5067,37,27618,14,0,0,27,1,0,2022-04-28,31,0,3,2022-05-17,2022-05-31,14
Biba'z fashion,6972,57,93485,14,0,1,28,5,2,2022-04-30,60,0,1,2022-04-01,2022-04-01,0
Fruits & Nuts,52283,17,9085,9,0,0,0,0,0,2022-04-27,49,0,14,2022-05-21,2022-05-25,4
Chocolate Studio BD,5509,10,9814,7,0,0,4,1,0,2022-04-25,8,0,1,2022-04-02,2022-04-02,0
MNW CLOTHING,29846,48,41533,16,0,0,28,9,1,2022-04-26,18,0,3,2022-04-08,2022-04-08,0
UMAR,20415,47,190027,19,0,1,26,2,0,2022-04-28,18,0,1,2022-03-30,2022-04-01,2
IMROSE,32655,4,6180,2,0,1,1,2,1,2022-04-28,51,0,0,2022-04-08,2022-04-08,0
Mahjabin's Boutique House,20794,8,26275,3,0,0,5,0,0,2022-04-17,0,1,0,2022-04-02,2022-04-02,0
Timepeace,45399,6,6700,5,0,0,4,0,0,2022-04-29,10,0,1,2022-04-18,2022-04-19,1
hoimonti fashion,23181,1,105,1,0,0,0,0,0,2022-04-14,0,1,1,2022-04-16,2022-04-19,3
E BUKUR FASHION,62187,13,13170,9,0,0,1,0,8,2022-04-29,2,0,15,2022-05-21,2022-05-24,3
Ashik Store Dhaka,64146,1,640,1,0,0,0,0,0,2022-04-24,6,0,0,2022-04-02,2022-04-02,0
Madina Shop BD,57582,23,17167,9,0,3,4,1,1,2022-04-29,3,0,4,2022-04-30,2022-05-11,11
Amanah Fashion,5968,3,3068,3,0,0,3,0,0,2022-04-26,0,1,1,2022-04-16,2022-04-19,3
Style Door,6280,146,420543,23,0,5,73,10,1,2022-04-30,94,0,13,2022-04-29,2022-05-13,14
Verge Lifestyle,11094,2,3468,2,0,0,2,0,0,2022-04-29,0,1,4,2022-04-28,2022-05-16,18
